NPS,Identification,Schedule,Outside Diameter,Wall Thickness,Weight
0.125,,10,0.405,0.049,0.19
0.125,,10S,0.405,0.049,0.19
0.125,,30,0.405,0.057,0.21
0.125,STD,40,0.405,0.068,0.24
0.125,STD,40S,0.405,0.068,0.24
0.125,XS,80,0.405,0.095,0.31
0.125,XS,80S,0.405,0.095,0.31
0.125,,160,0.405,0.124,0.37
0.125,XXS,,0.405,0.19,0.44
0.25,,10,0.54,0.065,0.33
0.25,,10S,0.54,0.065,0.33
0.25,,30,0.54,0.073,0.36
0.25,STD,40,0.54,0.088,0.43
0.25,STD,40S,0.54,0.088,0.43
0.25,XS,80,0.54,0.119,0.54
0.25,XS,80S,0.54,0.119,0.54
0.25,,160,0.54,0.145,0.61
0.25,XXS,,0.54,0.238,0.77
0.375,,10,0.675,0.065,0.42
0.375,,10S,0.675,0.065,0.42
0.375,,30,0.675,0.073,0.47
0.375,STD,40,0.675,0.091,0.57
0.375,STD,40S,0.675,0.091,0.57
0.375,XS,80,0.675,0.126,0.74
0.375,XS,80S,0.675,0.126,0.74
0.375,,160,0.675,0.158,0.87
0.375,XXS,,0.675,0.252,1.14
0.5,,5,0.84,0.065,0.54
0.5,,5S,0.84,0.065,0.54
0.5,,10,0.84,0.083,0.67
0.5,,10S,0.84,0.083,0.67
0.5,,30,0.84,0.095,0.76
0.5,STD,40,0.84,0.109,0.85
0.5,STD,40S,0.84,0.109,0.85
0.5,XS,80,0.84,0.147,1.09
0.5,XS,80S,0.84,0.147,1.09
0.5,,160,0.84,0.188,1.31
0.5,XXS,,0.84,0.294,1.72
0.75,,5,1.05,0.065,0.68
0.75,,5S,1.05,0.065,0.68
0.75,,10,1.05,0.083,0.86
0.75,,10S,1.05,0.083,0.86
0.75,,30,1.05,0.095,0.97
0.75,STD,40,1.05,0.113,1.13
0.75,STD,40S,1.05,0.113,1.13
0.75,XS,80,1.05,0.154,1.48
0.75,XS,80S,1.05,0.154,1.48
0.75,,160,1.05,0.219,1.95
0.75,XXS,,1.05,0.308,2.44
1,,5,1.315,0.065,0.87
1,,5S,1.315,0.065,0.87
1,,10,1.315,0.109,1.41
1,,10S,1.315,0.109,1.41
1,,30,1.315,0.114,1.46
1,STD,40,1.315,0.133,1.68
1,STD,40S,1.315,0.133,1.68
1,XS,80,1.315,0.179,2.17
1,XS,80S,1.315,0.179,2.17
1,,160,1.315,0.25,2.85
1,XXS,,1.315,0.358,3.66
1.25,,5,1.66,0.065,1.11
1.25,,5S,1.66,0.065,1.11
1.25,,10,1.66,0.109,1.81
1.25,,10S,1.66,0.109,1.81
1.25,,30,1.66,0.117,1.93
1.25,STD,40,1.66,0.14,2.27
1.25,STD,40S,1.66,0.14,2.27
1.25,XS,80,1.66,0.191,3
1.25,XS,80S,1.66,0.191,3
1.25,,160,1.66,0.25,3.77
1.25,XXS,,1.66,0.382,5.22
1.5,,5,1.9,0.065,1.28
1.5,,5S,1.9,0.065,1.28
1.5,,10,1.9,0.109,2.09
1.5,,10S,1.9,0.109,2.09
1.5,,30,1.9,0.125,2.37
1.5,STD,40,1.9,0.145,2.72
1.5,STD,40S,1.9,0.145,2.72
1.5,XS,80,1.9,0.2,3.63
1.5,XS,80S,1.9,0.2,3.63
1.5,,160,1.9,0.281,4.86
1.5,XXS,,1.9,0.4,6.41
2,,5,2.375,0.065,1.61
2,,5S,2.375,0.065,1.61
2,,,2.375,0.083,2.03
2,,10,2.375,0.109,2.64
2,,10S,2.375,0.109,2.64
2,,30,2.375,0.125,3.01
2,,,2.375,0.141,3.37
2,STD,40,2.375,0.154,3.66
